0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.3,0.4,0.6,0.8,1.1,1.5,2.0,2.6,3.3,4.0,4.9,6.0,7.1,8.4,9.8,11.3,13.0,14.7,16.5,18.5,22.4,24.5,24.5,26.6,28.6,32.7,34.7,34.7,36.6,38.5,40.3,43.8,43.8,45.4,47.0,48.4,49.8,51.2,52.4,53.6,54.7
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.4,0.5,0.7,1.0,1.4,1.8,2.3,2.9,3.6,4.4,5.4,6.4,7.6,8.9,10.3,11.8,13.4,15.1,16.9,20.7,22.7,22.7,24.7,26.7,30.7,32.7,32.7,34.6,36.5,38.3,41.8,41.8,43.5,45.1,46.6,48.0,49.4,50.7,52.0,53.2
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.5,0.7,0.9,1.2,1.6,2.1,2.6,3.3,4.0,4.9,5.8,6.9,8.1,9.4,10.8,12.3,13.9,15.6,19.2,21.1,21.1,23.0,24.9,28.9,30.8,30.8,32.7,34.6,36.4,40.0,40.0,41.6,43.3,44.8,46.3,47.7,49.1,50.4,51.6
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.1,1.5,1.9,2.4,3.0,3.6,4.4,5.3,6.3,7.4,8.6,9.9,11.3,12.8,14.4,17.8,19.6,19.6,21.4,23.3,27.1,29.0,29.0,30.9,32.8,34.6,38.2,38.2,39.9,41.5,43.1,44.6,46.1,47.5,48.8,50.1
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.0,1.3,1.7,2.2,2.7,3.3,4.0,4.8,5.8,6.8,7.9,9.1,10.4,11.8,13.3,16.5,18.2,18.2,20.0,21.8,25.5,27.4,27.4,29.2,31.1,32.9,36.4,36.4,38.1,39.8,41.4,42.9,44.4,45.9,47.2,48.6
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.4,0.5,0.7,0.9,1.2,1.6,2.0,2.5,3.0,3.7,4.4,5.3,6.2,7.2,8.4,9.6,10.9,12.3,15.4,17.0,17.0,18.7,20.4,24.0,25.8,25.8,27.7,29.5,31.3,34.8,34.8,36.5,38.2,39.8,41.3,42.9,44.3,45.7,47.1
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.5,0.6,0.9,1.1,1.4,1.8,2.3,2.8,3.4,4.1,4.9,5.7,6.7,7.7,8.9,10.1,11.5,14.3,15.9,15.9,17.5,19.2,22.6,24.4,24.4,26.2,28.0,29.7,33.2,33.2,34.9,36.6,38.2,39.8,41.3,42.8,44.2,45.6
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.3,1.7,2.1,2.6,3.1,3.8,4.5,5.3,6.2,7.2,8.3,9.4,10.7,13.4,14.9,14.9,16.4,18.0,21.4,23.1,23.1,24.8,26.5,28.3,31.7,31.7,33.4,35.1,36.7,38.3,39.8,41.3,42.8,44.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.5,1.9,2.4,2.9,3.5,4.2,4.9,5.8,6.7,7.7,8.8,9.9,12.5,13.9,13.9,15.4,17.0,20.2,21.8,21.8,23.5,25.2,26.9,30.3,30.3,32.0,33.6,35.3,36.9,38.4,39.9,41.4,42.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.8,2.2,2.7,3.2,3.9,4.6,5.4,6.2,7.2,8.2,9.3,11.8,13.1,13.1,14.5,16.0,19.1,20.7,20.7,22.3,23.9,25.6,29.0,29.0,30.6,32.3,33.9,35.5,37.0,38.5,40.0,41.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.8,1.1,1.3,1.7,2.1,2.5,3.0,3.6,4.3,5.0,5.8,6.7,7.7,8.7,11.0,12.3,12.3,13.7,15.1,18.0,19.6,19.6,21.2,22.8,24.4,27.7,27.7,29.3,30.9,32.5,34.1,35.7,37.2,38.7,40.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.6,1.9,2.3,2.8,3.4,4.0,4.7,5.4,6.3,7.2,8.2,10.4,11.6,11.6,12.9,14.2,17.1,18.6,18.6,20.1,21.7,23.2,26.5,26.5,28.1,29.7,31.3,32.8,34.4,35.9,37.4,38.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.4,1.8,2.2,2.6,3.1,3.7,4.4,5.1,5.9,6.7,7.7,9.8,10.9,10.9,12.2,13.4,16.2,17.6,17.6,19.1,20.6,22.2,25.3,25.3,26.9,28.5,30.1,31.6,33.2,34.7,36.2,37.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.7,2.0,2.5,2.9,3.5,4.1,4.8,5.5,6.3,7.2,9.2,10.3,10.3,11.5,12.7,15.4,16.7,16.7,18.2,19.7,21.2,24.2,24.2,25.8,27.3,28.9,30.4,32.0,33.5,35.0,36.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.3,1.6,1.9,2.3,2.8,3.3,3.9,4.5,5.2,6.0,6.8,8.7,9.8,9.8,10.9,12.0,14.6,15.9,15.9,17.3,18.7,20.2,23.2,23.2,24.7,26.2,27.8,29.3,30.8,32.3,33.8,35.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,4.9,5.6,6.4,8.2,9.2,9.2,10.3,11.4,13.9,15.2,15.2,16.5,17.9,19.3,22.2,22.2,23.7,25.2,26.7,28.2,29.7,31.2,32.7,34.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.7,2.1,2.5,2.9,3.4,4.0,4.6,5.3,6.1,7.8,8.8,8.8,9.8,10.9,13.2,14.4,14.4,15.7,17.1,18.5,21.3,21.3,22.8,24.2,25.7,27.2,28.7,30.2,31.6,33.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.1,1.3,1.6,1.9,2.3,2.8,3.2,3.8,4.4,5.0,5.8,7.4,8.3,8.3,9.3,10.3,12.6,13.8,13.8,15.0,16.3,17.7,20.4,20.4,21.8,23.3,24.7,26.2,27.7,29.1,30.6,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.1,4.8,5.5,7.0,7.9,7.9,8.8,9.8,12.0,13.1,13.1,14.3,15.6,16.9,19.6,19.6,21.0,22.4,23.8,25.3,26.7,28.1,29.6,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.4,1.7,2.1,2.5,2.9,3.4,3.9,4.5,5.2,6.7,7.5,7.5,8.4,9.4,11.4,12.5,12.5,13.7,14.9,16.2,18.8,18.8,20.2,21.5,22.9,24.4,25.8,27.2,28.6,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.4,1.6,2.0,2.3,2.8,3.2,3.7,4.3,4.9,6.4,7.2,7.2,8.0,8.9,10.9,12.0,12.0,13.1,14.3,15.5,18.1,18.1,19.4,20.7,22.1,23.5,24.9,26.3,27.7,29.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.6,1.9,2.2,2.6,3.1,3.6,4.1,4.7,6.1,6.8,6.8,7.6,8.5,10.4,11.5,11.5,12.6,13.7,14.9,17.4,17.4,18.6,20.0,21.3,22.7,24.0,25.4,26.8,28.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.5,1.8,2.1,2.5,2.9,3.4,3.9,4.5,5.8,6.5,6.5,7.3,8.1,10.0,11.0,11.0,12.0,13.1,14.3,16.7,16.7,17.9,19.2,20.5,21.9,23.2,24.6,25.9,27.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.4,1.7,2.0,2.4,2.8,3.2,3.7,4.3,5.5,6.2,6.2,7.0,7.8,9.6,10.5,10.5,11.5,12.6,13.7,16.1,16.1,17.3,18.5,19.8,21.1,22.4,23.8,25.1,26.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.6,1.9,2.3,2.6,3.1,3.6,4.1,5.3,5.9,5.9,6.7,7.4,9.2,10.1,10.1,11.1,12.1,13.2,15.5,15.5,16.6,17.9,19.1,20.4,21.7,23.0,24.3,25.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.5,1.8,2.2,2.5,2.9,3.4,3.9,5.0,5.7,5.7,6.4,7.1,8.8,9.7,9.7,10.6,11.6,12.7,14.9,14.9,16.0,17.2,18.5,19.7,21.0,22.3,23.6,24.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.5,1.8,2.1,2.4,2.8,3.2,3.7,4.8,5.4,5.4,6.1,6.8,8.4,9.3,9.3,10.2,11.2,12.2,14.3,14.3,15.5,16.6,17.8,19.0,20.3,21.6,22.8,24.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.4,1.7,2.0,2.3,2.7,3.1,3.6,4.6,5.2,5.2,5.9,6.6,8.1,8.9,8.9,9.8,10.8,11.7,13.8,13.8,14.9,16.1,17.2,18.4,19.6,20.9,22.1,23.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.2,2.6,3.0,3.4,4.4,5.0,5.0,5.6,6.3,7.8,8.6,8.6,9.4,10.4,11.3,13.3,13.3,14.4,15.5,16.6,17.8,19.0,20.2,21.5,22.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.8,2.1,2.5,2.9,3.3,4.3,4.8,4.8,5.4,6.0,7.5,8.3,8.3,9.1,10.0,10.9,12.9,12.9,13.9,15.0,16.1,17.2,18.4,19.6,20.8,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.6,0.7,0.9,1.0,1.2,1.5,1.7,2.0,2.4,2.7,3.1,4.1,4.6,4.6,5.2,5.8,7.2,8.0,8.0,8.8,9.6,10.5,12.4,12.4,13.4,14.5,15.6,16.7,17.8,19.0,20.2,21.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.4,1.7,2.0,2.3,2.6,3.0,3.9,4.4,4.4,5.0,5.6,6.9,7.7,7.7,8.4,9.3,10.1,12.0,12.0,13.0,14.0,15.1,16.2,17.3,18.4,19.6,20.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,1.0,1.1,1.4,1.6,1.9,2.2,2.5,2.9,3.8,4.3,4.3,4.8,5.4,6.7,7.4,7.4,8.1,8.9,9.8,11.6,11.6,12.6,13.5,14.6,15.6,16.7,17.9,19.0,20.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.1,1.3,1.5,1.8,2.1,2.4,2.8,3.6,4.1,4.1,4.6,5.2,6.4,7.1,7.1,7.9,8.6,9.4,11.2,11.2,12.1,13.1,14.1,15.2,16.2,17.3,18.4,19.6
