0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.1,1.7,2.4,3.3,4.2,5.2,6.4,19.8,32.6,42.2,49.0,53.8,57.3,60.0,62.1,63.8,72.0,75.1,76.8,77.7,78.3,78.7,78.9,79.1,79.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.9,1.1,1.4,1.7,6.4,12.8,19.8,26.5,32.6,37.8,42.2,45.9,49.0,63.8,69.1,72.0,73.9,75.1,76.1,76.8,77.3,77.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,3.0,6.4,10.5,15.1,19.8,24.3,28.6,32.6,36.1,56.3,63.8,67.7,70.2,72.0,73.3,74.3,75.1,75.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,1.7,3.7,6.4,9.4,12.8,16.3,19.8,23.2,26.5,49.0,58.7,63.8,66.9,69.1,70.7,72.0,73.0,73.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,1.1,2.4,4.2,6.4,8.8,11.4,14.2,17.0,19.8,42.2,53.8,60.0,63.8,66.4,68.3,69.8,71.0,72.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.8,1.7,3.0,4.5,6.4,8.4,10.5,12.8,15.1,36.1,49.0,56.3,60.7,63.8,66.0,67.7,69.1,70.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.6,1.3,2.2,3.4,4.8,6.4,8.1,9.9,11.8,30.9,44.4,52.6,57.8,61.2,63.8,65.7,67.2,68.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.4,1.0,1.7,2.6,3.7,5.0,6.4,7.8,9.4,26.5,40.1,49.0,54.8,58.7,61.6,63.8,65.5,66.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.8,1.4,2.1,3.0,4.0,5.1,6.4,7.7,22.8,36.1,45.5,51.9,56.3,59.5,61.9,63.8,65.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.1,1.7,2.4,3.3,4.2,5.2,6.4,19.8,32.6,42.2,49.0,53.8,57.3,60.0,62.1,63.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.9,1.1,1.4,1.7,6.4,12.8,19.8,26.5,32.6,37.8,42.2,45.9,49.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,3.0,6.4,10.5,15.1,19.8,24.3,28.6,32.6,36.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,1.7,3.7,6.4,9.4,12.8,16.3,19.8,23.2,26.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,1.1,2.4,4.2,6.4,8.8,11.4,14.2,17.0,19.8
