0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.2,0.8,1.7,2.9,4.4,6.2,8.2,10.3,12.5,14.8,36.3,49.9,57.8,62.7,66.1,68.6,70.6,72.2,73.6,81.1,84.4,86.4,87.7,88.7,89.4,90.0,90.5,90.9,93.0,93.8,94.2,94.4,94.6,94.7,94.7,94.8,94.8
0.1,0.2,0.4,0.8,1.2,1.7,2.2,2.9,3.6,4.4,14.8,26.4,36.3,44.1,49.9,54.4,57.8,60.5,62.7,73.6,78.3,81.1,83.0,84.4,85.5,86.4,87.1,87.7,90.9,92.3,93.0,93.5,93.8,94.0,94.2,94.3,94.4
0.0,0.1,0.2,0.3,0.5,0.8,1.0,1.3,1.7,2.0,7.5,14.8,22.6,29.9,36.3,41.7,46.2,49.9,53.0,67.8,73.6,77.0,79.4,81.1,82.5,83.6,84.4,85.2,89.2,90.9,91.9,92.5,93.0,93.3,93.6,93.8,93.9
0.0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.2,4.4,9.2,14.8,20.7,26.4,31.6,36.3,40.5,44.1,62.7,69.6,73.6,76.3,78.3,79.9,81.1,82.2,83.0,87.7,89.8,90.9,91.7,92.3,92.7,93.0,93.3,93.5
0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,2.9,6.2,10.3,14.8,19.5,24.2,28.5,32.6,36.3,57.8,66.1,70.6,73.6,75.8,77.6,79.0,80.1,81.1,86.4,88.7,90.0,90.9,91.6,92.1,92.4,92.7,93.0
0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,2.0,4.4,7.5,11.0,14.8,18.7,22.6,26.4,29.9,53.0,62.7,67.8,71.2,73.6,75.5,77.0,78.3,79.4,85.2,87.7,89.2,90.2,90.9,91.5,91.9,92.3,92.5
0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,1.5,3.3,5.7,8.5,11.5,14.8,18.2,21.5,24.8,48.4,59.4,65.2,68.9,71.5,73.6,75.2,76.6,77.8,84.1,86.8,88.4,89.5,90.3,90.9,91.4,91.8,92.1
0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,1.2,2.6,4.4,6.7,9.2,12.0,14.8,17.8,20.7,44.1,56.2,62.7,66.8,69.6,71.8,73.6,75.1,76.3,83.0,86.0,87.7,88.9,89.8,90.4,90.9,91.3,91.7
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.9,2.0,3.5,5.4,7.5,9.8,12.3,14.8,17.4,40.0,53.0,60.2,64.7,67.8,70.2,72.0,73.6,74.9,82.1,85.2,87.1,88.3,89.2,89.9,90.5,90.9,91.3
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.8,1.7,2.9,4.4,6.2,8.2,10.3,12.5,14.8,36.3,49.9,57.8,62.7,66.1,68.6,70.6,72.2,73.6,81.1,84.4,86.4,87.7,88.7,89.4,90.0,90.5,90.9
