0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.2,4.4,9.1,14.7,20.5,26.1,31.4,36.0,40.1,43.7,62.2,69.0,72.9,75.5,77.4,78.9,80.1,81.0,81.8,86.0,87.6,88.4,88.8,89.1,89.3,89.5,89.6,89.6
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,1.2,2.5,4.4,6.6,9.1,11.8,14.7,17.6,20.5,43.7,55.7,62.2,66.2,69.0,71.1,72.9,74.3,75.5,81.8,84.5,86.0,86.9,87.6,88.0,88.4,88.6,88.8
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.5,1.2,2.0,3.1,4.4,5.8,7.4,9.1,10.9,29.7,43.7,52.6,58.3,62.2,65.0,67.2,69.0,70.5,78.4,81.8,83.8,85.1,86.0,86.7,87.2,87.6,87.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.7,1.2,1.8,2.5,3.4,4.4,5.4,6.6,20.5,33.8,43.7,50.7,55.7,59.4,62.2,64.4,66.2,75.5,79.5,81.8,83.4,84.5,85.3,86.0,86.5,86.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.2,1.6,2.2,2.9,3.6,4.4,14.7,26.1,36.0,43.7,49.5,53.9,57.3,60.0,62.2,72.9,77.4,80.1,81.8,83.1,84.1,84.9,85.5,86.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.8,1.2,1.6,2.0,2.5,3.1,10.9,20.5,29.7,37.4,43.7,48.7,52.6,55.7,58.3,70.5,75.5,78.4,80.4,81.8,82.9,83.8,84.5,85.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.9,1.2,1.5,1.9,2.3,8.4,16.4,24.6,32.1,38.4,43.7,48.0,51.6,54.5,68.3,73.7,76.9,79.1,80.6,81.8,82.8,83.6,84.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.7,0.9,1.2,1.5,1.8,6.6,13.3,20.5,27.5,33.8,39.1,43.7,47.5,50.7,66.2,72.0,75.5,77.8,79.5,80.8,81.8,82.7,83.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.5,0.7,0.9,1.2,1.4,5.3,10.9,17.3,23.7,29.7,35.0,39.7,43.7,47.1,64.2,70.5,74.1,76.6,78.4,79.8,80.9,81.8,82.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.2,4.4,9.1,14.7,20.5,26.1,31.4,36.0,40.1,43.7,62.2,69.0,72.9,75.5,77.4,78.9,80.1,81.0,81.8
